PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
3.52,311.484375,90.0,-75.5,1357.28,0
14.44,286.523438,90.0,-19.5,1425.415,0
14.35,287.929688,90.0,-19.5,1425.55,0
13.24,289.335938,90.0,-19.5,1425.55,0
16.15,291.09375,90.0,-20.0,1425.465,0
13.27,292.5,90.0,-20.0,1425.375,0
13.27,292.5,90.0,-20.0,1425.51,0
12.4,264.726563,90.0,-15.5,1425.55,0
8.5,264.726563,90.0,-15.5,1425.375,0
8.38,263.320313,90.0,-16.0,1425.55,0
8.47,261.5625,90.0,-16.5,1425.55,0
10.24,252.070313,90.0,-19.0,1375.785,0
5.98,293.90625,90.0,-35.5,1425.785,0
6.22,81.5625,90.0,-69.0,1425.69,0
5.98,293.90625,90.0,-35.5,1425.69,0
6.28,81.5625,90.0,-69.0,1425.735,0
14.92,276.679688,90.0,-31.0,1425.6,0
14.98,278.4375,90.0,-31.0,1425.51,0
7.69,263.320313,90.0,-37.0,1425.65,0
7.63,261.5625,90.0,-37.5,1425.65,0
6.67,248.90625,90.0,-36.5,1425.465,0
6.97,248.90625,90.0,-36.5,1425.415,0
12.1,263.320313,90.0,-16.0,1425.65,0
12.13,263.320313,90.0,-16.0,1425.69,0
12.52,319.921875,90.0,-19.0,1375.65,0
12.7,311.484375,90.0,-18.5,1375.835,0
13.84,303.75,90.0,-18.0,1425.6,0
13.84,303.75,90.0,-18.0,1425.51,0
13.69,303.75,90.0,-18.0,1425.55,0
13.9,303.75,90.0,-18.0,1425.55,0
13.87,302.34375,90.0,-18.0,1425.55,0
13.84,303.75,90.0,-18.0,1425.51,0
4.39,330.117188,90.0,-47.5,1375.835,0
13.51,297.421875,90.0,-18.0,1375.69,0
13.63,296.015625,90.0,-18.0,1375.65,0
12.58,321.679688,90.0,-22.0,1375.92,0
6.7,325.546875,90.0,-24.0,1425.65,0
6.79,325.546875,90.0,-24.0,1425.6,0
6.73,325.546875,90.0,-23.0,1425.65,0
6.7,324.492188,90.0,-23.5,1425.785,0
13.75,324.492188,90.0,-24.0,1375.785,0
16.12,322.734375,90.0,-24.0,1376.105,0
10.09,348.398438,90.0,-36.0,1375.65,0
16.75,5.625,90.0,-34.5,1375.55,0
9.1,328.710938,90.0,-35.5,1425.785,0
8.92,330.117188,90.0,-36.0,1425.735,0
6.1,278.4375,90.0,-65.5,1426.145,0
8.95,328.710938,90.0,-35.5,1425.735,0
6.04,279.84375,90.0,-65.0,1426.52,0
6.79,8.789063,90.0,-38.5,1375.65,0
7.24,8.789063,90.0,-38.5,1375.69,0
11.29,343.476563,90.0,-35.5,1425.51,0
11.35,343.476563,90.0,-35.5,1425.6,0
10.0,335.390625,90.0,-34.0,1376.195,0
10.12,336.09375,90.0,-33.5,1375.69,0
18.22,351.5625,90.0,-18.0,1425.785,0
17.59,351.5625,90.0,-18.0,1425.735,0
17.59,348.398438,90.0,-19.0,1425.69,0
14.8,337.5,90.0,-19.5,1375.785,0
10.3,337.5,90.0,-19.5,1375.69,0
15.85,342.070313,90.0,-20.5,1375.69,0
13.48,340.664063,90.0,-21.0,1375.465,0
5.8,344.882813,90.0,-41.5,1375.09,0
9.28,348.398438,90.0,-39.5,1375.55,0
7.33,353.320313,90.0,-35.5,1425.51,0
7.6,351.5625,90.0,-35.0,1425.465,0
11.5,0.351563,90.0,-29.5,1425.735,0
15.73,21.445313,90.0,-19.5,1425.65,0
15.79,22.851563,90.0,-20.0,1425.65,0
14.8,22.851563,90.0,-20.0,1425.65,-1
13.93,22.851563,90.0,-20.0,1425.6,0
