PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
2.76,32.695313,90.0,-51.0,4394.3,0
2.76,30.234375,90.0,-51.5,4394.445,0
2.76,30.234375,90.0,-51.5,4394.4,0
2.76,32.695313,90.0,-51.5,4394.3,0
2.76,30.234375,90.0,-51.0,4394.215,0
2.78,29.179688,90.0,-51.0,4394.115,0
2.76,36.914063,90.0,-54.0,4396.73,0
2.76,35.859375,90.0,-53.5,4396.92,0
2.76,35.859375,90.0,-53.0,4396.645,0
2.76,37.617188,90.0,-53.0,4396.92,0
2.76,35.859375,90.0,-53.0,4396.92,0
2.76,36.914063,90.0,-53.5,4396.83,0
2.76,35.859375,90.0,-53.0,4396.83,0
2.76,35.859375,90.0,-53.0,4396.83,0
2.76,32.695313,90.0,-52.5,4394.4,0
2.76,34.101563,90.0,-52.5,4394.35,0
2.76,35.859375,90.0,-52.0,4394.26,0
2.76,37.617188,90.0,-52.5,4394.215,0
2.76,36.914063,90.0,-52.5,4394.4,0
2.76,36.914063,90.0,-52.5,4394.4,0
2.76,34.804688,90.0,-51.5,4394.4,0
2.76,34.804688,90.0,-51.5,4394.4,0
2.76,35.859375,90.0,-52.0,4396.73,0
2.76,35.859375,90.0,-51.5,4396.88,0
2.76,37.617188,90.0,-52.0,4396.92,0
2.76,35.859375,90.0,-51.5,4396.83,0
2.76,35.859375,90.0,-51.0,4396.73,0
2.76,34.804688,90.0,-51.5,4396.965,0
2.76,34.804688,90.0,-50.5,4396.78,0
2.76,35.859375,90.0,-50.5,4396.83,0
2.76,34.101563,90.0,-51.0,4396.88,0
2.76,34.101563,90.0,-51.0,4397.015,0
2.76,32.695313,90.0,-51.5,4396.83,0
2.76,34.101563,90.0,-51.0,4396.88,0
2.76,34.101563,90.0,-52.0,4396.88,0
2.76,34.804688,90.0,-51.5,4396.92,0
2.76,34.804688,90.0,-52.0,4397.015,0
2.76,32.695313,90.0,-52.5,4396.78,0
2.76,31.640625,90.0,-55.0,4396.92,0
2.76,32.695313,90.0,-54.5,4396.685,0
2.76,32.695313,90.0,-55.0,4396.92,0
2.76,34.101563,90.0,-55.0,4396.78,0
2.75,32.695313,90.0,-55.5,4396.685,0
2.75,32.695313,90.0,-55.5,4396.73,0
2.76,30.234375,90.0,-56.0,4396.595,0
2.76,32.695313,90.0,-55.5,4396.73,0
2.76,22.851563,90.0,-55.0,4394.535,0
2.74,30.234375,90.0,-55.5,4394.215,0
2.75,34.804688,90.0,-55.0,4394.115,0
2.76,27.773438,90.0,-55.5,4394.26,0
2.75,32.695313,90.0,-56.0,4394.115,0
2.76,34.804688,90.0,-55.5,4394.26,0
2.75,31.640625,90.0,-56.0,4394.215,0
2.75,29.179688,90.0,-56.0,4394.165,0
2.76,30.234375,90.0,-51.5,4396.88,0
2.76,32.695313,90.0,-51.5,4396.88,0
2.76,31.640625,90.0,-51.5,4396.83,0
2.76,30.234375,90.0,-51.0,4396.92,0
2.76,27.773438,90.0,-50.5,4396.83,0
2.76,32.695313,90.0,-50.5,4396.78,0
2.76,32.695313,90.0,-50.5,4396.965,0
2.76,32.695313,90.0,-50.5,4396.965,0
2.76,32.695313,90.0,-50.5,4396.965,0
2.76,32.695313,90.0,-51.0,4396.73,0
2.75,36.914063,90.0,-56.5,4394.35,0
2.76,29.179688,90.0,-56.5,4394.445,0
2.76,30.234375,90.0,-56.5,4394.4,0
2.75,27.773438,90.0,-56.5,4394.26,0
2.75,30.234375,90.0,-57.5,4394.215,0
2.76,27.773438,90.0,-56.5,4394.445,0
